,Screen_Size,Screen_Tech,Screen_Body_Ratio,CPU_Model,CPU_Freq,GPU_Model,RAM,Operating_System,CPU_Tickness,GPU_Freq,RAM_Type,Camera_Resolution,Selfie_Camera_Resolution,Width,Height,Tickness,Weight,Charge_Type,Battery_Size,Storage_Capacity,Release_Year,PRICE
320,6.1 inç,IPS LCD,78.31 %,Apple A12 Bionic,2.5 GHz,Apple G11P MP4,3 GB RAM,iOS 12,7 nm,Missing,LPDDR4x,12 MP,7 MP,75.7 mm,6.1 inç,8.3 mm,194 gr,Lightning,2942 mAh,64 GB,2018,"9.099,84 TL"
321,6.5 inç,Super AMOLED,84.8 %,Exynos 990,2.73 GHz,Mali-G77 MP11,8 GB RAM,Android 10.0,7 nm+,Missing,LPDDR5,12 MP,32 MP,74.5 mm,6.5 inç,8.4 mm,190 gr,USB Type-C,4500 mAh,256 GB,2020,"7.824,32 TL"
322,5.4 inç,OLED,85.1 %,Apple A14 Bionic,Missing,Apple Quad-Core,4 GB RAM,iOS 14,5 nm,Missing,Missing,12 MP,12 MP,64.2 mm,5.4 inç,7.4 mm,135 gr,Lightning,Missing,64 GB,2020,"10.400,00 TL"
323,6.5 inç,PLS IPS,81.9 %,Exynos 850,2.0 GHz,Mali-G52,4 GB RAM,Android 11,8 nm,Missing,Missing,48 MP,8 Mp,75.9 mm,6.5 inç,9.7 mm,221 gr,USB Type-C,6000 mAh,64 GB,2021,"2.673,04 TL"
324,6.52 inç,IPS LCD,80.8 %,MediaTek Helio G35,2.3 GHz,PowerVR GE8320,3 GB RAM,Android 10.0,12 nm,680 MHz,LPDDR4x,13 MP,5 MP,76.4 mm,6.52 inç,8.9 mm,190 gr,Micro-USB,5000 mAh,32 GB,2021,"2.099,00 TL"
325,6.7 inç,Super AMOLED,87.2 %,Qualcomm SDM730 Snapdragon 730,2.2 GHz,Adreno 618,8 GB RAM,Android 10.0,8 nm,700 MHz,LPDDR4x,64 MP,32 MP,76 mm,6.7 inç,7.7 mm,179 gr,USB Type-C,4500 mAh,128 GB,2020,"6.349,00 TL"
326,6.7 inç,Super AMOLED,91.3 %,Mediatek Helio G95,2.05 GHz,Mali-G76 MC4,8 GB RAM,Android 11,12 nm,Missing,Missing,50 MP,8 Mp,73.8 mm,6.7 inç,8.7 mm,201 gr,USB Type-C,4700 mAh,256 GB,2021,"6.999,00 TL"
327,6.4 inç,Super AMOLED,83.6 %,Mediatek Helio G80,2.0 GHz,Mali-G52 MC2,4 GB RAM,Android 11,12 nm,950 MHz,LPDDR4x,48 MP,13 MP,74 mm,6.4 inç,8.4 mm,186 gr,USB Type-C,5000 mAh,128 GB,2021,"2.896,43 TL"
328,6.5 inç,IPS LCD,83.7 %,MediaTek MT6833 Dimensity 700 5G,2.2 GHz,Mali-G57 MC2,4 GB RAM,Android 11,7 nm,950 MHz,LPDDR4x,48 MP,8 Mp,75.3 mm,6.5 inç,8.9 mm,190 gr,USB Type-C,5000 mAh,64 GB,2021,"3.399,00 TL"
329,6.5 inç,IPS LCD,83.1 %,Qualcomm SM6125 Snapdragon 665,2.0 GHz,Adreno 610,6 GB RAM,Android 10.0,11 nm,Missing,Missing,48 MP,25 MP,77 mm,6.5 inç,9.4 mm,201 gr,USB Type-C,5000 mAh,128 GB,2020,"2.879,00 TL"
330,6.43 inç,AMOLED,83.5 %,Mediatek Helio G95,2.05 GHz,Mali-G76 MC4,6 GB RAM,Android 11,12 nm,Missing,LPDDR4x,64 MP,13 MP,74.5 mm,6.43 inç,8.3 mm,178.8 gr,USB Type-C,5000 mAh,128 GB,2021,"3.689,90 TL"
331,6.4 inç,Super AMOLED,84.9 %,MediaTek MT6768 (Helio P65),2.0 GHz,Mali-G52 MC2,4 GB RAM,Android 10.0,12 nm,820 MHz,LPDDR4x,48 MP,20 MP,73.1 mm,6.4 inç,8.6 mm,185 gr,USB Type-C,5000 mAh,128 GB,2020,"3.649,00 TL"
332,6.6 inç,IPS LCD,84.9 %,MediaTek MT6891Z Dimensity 1100 5G,2.6 GHz,Mali-G77 MC9,8 GB RAM,Android 11,6 nm,Missing,LPDDR4x,64 MP,16 MP,75.9 mm,6.6 inç,8.9 mm,193 gr,USB Type-C,5000 mAh,256 GB,2021,"5.399,00 TL"
333,6.47 inç,AMOLED,87.8 %,Qualcomm SDM730 Snapdragon 730G,2.2 GHz,Adreno 618,6 GB RAM,Android 10.0,8 nm,700 MHz,LPDDR4x,64 MP,16 MP,74.2 mm,6.47 inç,9.7 mm,204 gr,USB Type-C,5260 mAh,64 GB,2020,"4.449,00 TL"
334,6.43 inç,AMOLED,83.5 %,Mediatek Helio G95,2.05 GHz,Mali-G76 MC4,6 GB RAM,Android 11,12 nm,Missing,LPDDR4x,64 MP,13 MP,74.5 mm,6.43 inç,8.3 mm,178.8 gr,USB Type-C,5000 mAh,64 GB,2021,"3.599,00 TL"
335,6.51 inç,IPS LCD,82.16%,MediaTek Helio P25,1.6 GHz,Mali-T880 MP2,4 GB RAM,Android 11,16 nm,Missing,Missing,13 MP,5 MP,Missing,6.51 inç,Missing,Missing,USB Type-C,4900 mAh,128 GB,2021,"1.999,00 TL"
336,6.3 inç,IPS LCD,81.97 %,MediaTek MT6771V/T (Helio P70),2.1 GHz,Mali-G72 MP3,6 GB RAM,Android 10 (Q),12 nm,700 MHz,LPDDR4x,48 MP,16 MP,75 mm,6.3 inç,8.65 mm,180 gr,USB Type-C,4050 mAh,128 GB,2020,"2.939,02 TL"
337,6.4 inç,Super AMOLED,Missing,Exynos 9611,2.3 GHz,Mali-G72 MP3,6 GB RAM,Android 10 (Q),10 nm,Missing,LPDDR4x,64 MP,16 MP,75.1 mm,6.4 inç,8.9 mm,191 gr,USB Type-C,6000 mAh,128 GB,2020,"6.049,00 TL"
338,6.3 inç,IPS LCD,80.98 %,Qualcomm Snapdragon 665 (SM6125),2.0 GHz,Adreno 610,4 GB RAM,Android 9.0 (Pie),11 nm,Missing,LPDDR4x,48 MP,13 MP,75.3 mm,6.3 inç,8.4 mm,190 gr,USB Type-C,4000 mAh,64 GB,2019,"2.918,44 TL"
339,6.53 inç,IPS LCD,83.5 %,MediaTek Helio G85,2.0 GHz,Mali-G52 MC2,4 GB RAM,Android 10.0,12 nm,1000 MHz,LPDDR4x,48 MP,13 MP,77.2 mm,6.53 inç,8.9 mm,199 gr,USB Type-C,5020 mAh,128 GB,2020,"3.349,00 TL"
340,4.7 inç,IPS LCD,65.4 %,Apple A13 Bionic,2.65 GHz,Apple GPU,3 GB RAM,iOS 13,7 nm+,Missing,Missing,12 MP,7 MP,67.3 mm,4.7 inç,7.3 mm,148 gr,Lightning,1821 mAh,128 GB,2020,"7.482,42 TL"
341,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"6.448,00 TL"
342,6.6 inç,IPS LCD,84.9 %,MediaTek MT6891Z Dimensity 1100 5G,2.6 GHz,Mali-G77 MC9,8 GB RAM,Android 11,6 nm,Missing,LPDDR4x,64 MP,16 MP,75.9 mm,6.6 inç,8.9 mm,193 gr,USB Type-C,5000 mAh,256 GB,2021,"5.679,10 TL"
343,6.21 inç,IPS LCD,82.66 %,HiSilicon Kirin 710,2.2 GHz,Mali-G51 MP2,3 GB RAM,Android 9.0 (Pie),12 nm,1000 MHz,Missing,13 MP,8 Mp,73.4 mm,6.21 inç,7.95 mm,160 gr,Micro-USB,3400 mAh,64 GB,2018,"2.599,00 TL"
344,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,192 g,Missing,Missing,Missing,Missing,"4.299,00 TL"
345,6.5 inç,Super AMOLED,84.9 %,Qualcomm Snapdragon 778G 5G,2.4 GHz,Adreno 642L,8 GB RAM,Android 11,6 nm,Missing,LPDDR4x,64 MP,32 MP,75.1 mm,6.5 inç,8.4 mm,189 gr,USB Type-C,4500 mAh,128 GB,2021,"6.299,00 TL"
346,6.2 inç,Dynamic AMOLED,Missing,Exynos 2100,Missing,Missing,8 GB RAM,Android 11,5 nm,Missing,LPDDR5,12 MP,10 MP,Missing,6.2 inç,Missing,Missing,USB Type-C,4500 mAh,128 GB,2020,"8.750,00 TL"
347,6.53 inç,IPS LCD,83.2 %,Mediatek Helio G80,2.0 GHz,Mali-G52 MC2,4 GB RAM,Android 10.0,12 nm,950 MHz,LPDDR4x,13 MP,8 Mp,77 mm,6.53 inç,9.1 mm,198 gr,USB Type-C,5020 mAh,64 GB,2020,"2.821,42 TL"
348,6.44 inç,AMOLED,84.8 %,MediaTek MT6853 Dimensity 800U 5G,2.4 GHz,Mali-G57 MC3,8 GB RAM,Android 11,7 nm,Missing,Missing,64 MP,44 MP,73.9 mm,6.44 inç,7.3 mm,176 gr,USB Type-C,4000 mAh,128 GB,2021,"6.999,00 TL"
349,6.4 inç,AMOLED,85.5 %,Mediatek MT6771V Helio P70,2.1 GHz,Mali-G72 MP3,8 GB RAM,Android 9.0 (Pie),12 nm,900 MHz,Missing,48 MP,16 MP,73.3 mm,6.4 inç,7.9 mm,172 gr,USB Type-C,4025 mAh,128 GB,2019,"4.475,00 TL"
350,6.4 inç,Super AMOLED,84.5 %,Samsung Exynos 7 Series 9610,2.3 GHz,Mali-G72 MP3,6 GB RAM,Android 9.0 (Pie),10 nm,Missing,LPDDR4x,25 MP,25 MP,74.7 mm,6.4 inç,7.7 mm,166 gr,USB Type-C,4000 mAh,64 GB,2019,"4.409,02 TL"
351,6.3 inç,IPS LCD,81.97 %,MediaTek MT6771V/T (Helio P70),2.1 GHz,Mali-G72 MP3,6 GB RAM,Android 10 (Q),12 nm,700 MHz,LPDDR4x,48 MP,16 MP,75 mm,6.3 inç,8.65 mm,180 gr,USB Type-C,4050 mAh,128 GB,2020,"2.999,99 TL"
352,6.51 inç,IPS LCD,82.6 %,Mediatek MT6765 Helio P35,2.35 GHz,PowerVR GE8320,4 GB RAM,Android 10.0,12 nm,Missing,LPDDR4x,13 MP,16 MP,75.7 mm,6.51 inç,8.4 mm,192 gr,USB Type-C,5000 mAh,128 GB,2021,"2.858,00 TL"
353,6.5 inç,Super AMOLED,87.4 %,Exynos 9611,2.3 GHz,Mali-G72 MP3,8 GB RAM,Android 10.0,10 nm,Missing,LPDDR4x,48 MP,32 MP,73.6 mm,6.5 inç,7.9 mm,172 gr,USB Type-C,4000 mAh,256 GB,2019,"4.454,00 TL"
354,6.4 inç,Super AMOLED,84.9 %,MediaTek MT6768 (Helio P65),2.0 GHz,Mali-G52 MC2,4 GB RAM,Android 10.0,12 nm,820 MHz,LPDDR4x,48 MP,20 MP,73.1 mm,6.4 inç,8.6 mm,185 gr,USB Type-C,5000 mAh,128 GB,2020,"3.649,00 TL"
355,6.51 inç,IPS LCD,80.98 %,UNISOC SC9863A,1.6 GHz,PowerVR GE8322,3 GB RAM,Android 11,28 nm,550 MHz,Missing,13 MP,8 Mp,76.26 mm,6.51 inç,9 mm,200 gr,Missing,5000 mAh,32 GB,2021,"2.067,80 TL"
356,6.1 inç,IPS LCD,78.31 %,Apple A12 Bionic,2.5 GHz,Apple G11P MP4,3 GB RAM,iOS 12,7 nm,Missing,LPDDR4x,12 MP,7 MP,75.7 mm,6.1 inç,8.3 mm,194 gr,Lightning,2942 mAh,64 GB,2018,"9.249,99 TL"
357,6.5 inç,IPS LCD,83.7 %,MediaTek MT6833 Dimensity 700 5G,2.2 GHz,Mali-G57 MC2,4 GB RAM,Android 11,7 nm,950 MHz,LPDDR4x,48 MP,8 Mp,75.3 mm,6.5 inç,8.9 mm,190 gr,USB Type-C,5000 mAh,64 GB,2021,"3.399,00 TL"
358,6.55 inç,IPS LCD,Missing,MediaTek Helio P60,2.0 GHz,Mali-G72 MP3,8 GB RAM,Android 11,12 nm,800 MHz,Missing,48 MP,8 Mp,77.2 mm,6.55 inç,9.95 mm,220 gr,USB Type-C,4000 mAh,128 GB,2021,"2.499,00 TL"
359,6.7 inç,Dynamic AMOLED,88.3 %,Exynos 2100,2.9 GHz,Mali-G78 MP14,8 GB RAM,Android 11,5 nm,Missing,LPDDR5,12 MP,10 MP,75.6 mm,6.7 inç,7.8 mm,200 gr,USB Type-C,4800 mAh,128 GB,2020,"14.179,62 TL"
360,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"2.897,91 TL"
361,6.52 inç,IPS LCD,82.09 %,MediaTek Helio G35,2.3 GHz,PowerVR GE8320,4 GB RAM,Android 11,12 nm,680 MHz,Missing,16 MP,8 Mp,75.8 mm,6.52 inç,9.1 mm,185 gr,USB Type-C,5050 mAh,64 GB,2021,"2.089,00 TL"
362,4.7 inç,IPS LCD,65.4 %,Apple A13 Bionic,2.65 GHz,Apple GPU,3 GB RAM,iOS 13,7 nm+,Missing,Missing,12 MP,7 MP,67.3 mm,4.7 inç,7.3 mm,148 gr,Lightning,1821 mAh,256 GB,2020,"8.200,00 TL"
363,6.1 inç,OLED,86.0 %,Apple A14 Bionic,Missing,Apple Quad-Core,6 GB RAM,iOS 14,5 nm,Missing,Missing,12 MP,12 MP,71.5 mm,6.1 inç,7.4 mm,189 gr,Lightning,2815 mAh,128 GB,2020,"19.299,00 TL"
364,6.5 inç,PLS IPS,81.9 %,Exynos 850,2.0 GHz,Mali-G52,4 GB RAM,Android 11,8 nm,Missing,Missing,48 MP,8 Mp,75.9 mm,6.5 inç,9.7 mm,221 gr,USB Type-C,6000 mAh,128 GB,2021,"2.773,40 TL"
365,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,86 g,Missing,Missing,Missing,Missing,"229,00 TL"
366,6.5 inç,Super AMOLED,87.4 %,Exynos 9611,2.3 GHz,Mali-G72 MP3,6 GB RAM,Android 10.0,10 nm,Missing,LPDDR4x,48 MP,32 MP,73.6 mm,6.5 inç,7.9 mm,172 gr,USB Type-C,4000 mAh,128 GB,2019,"4.379,05 TL"
367,5.71 inç,IPS LCD,77.59 %,Mediatek MT6761 Helio A22,2.0 GHz,PowerVR GE8320,2 GB RAM,Android 9.0 (Pie),12 nm,Missing,Missing,13 MP,5 MP,70.78 mm,5.71 inç,8.3 mm,146 gr,Micro-USB,3020 mAh,16 GB,2019,"1.799,00 TL"
368,6.52 inç,IPS LCD,81.0 %,UNISOC SC9863A,1.6 GHz,IMG8322,2 GB RAM,Android 11,28 nm,550 MHz,LPDDR4x,8 MP,8 Mp,76.7 mm,6.52 inç,9.7 mm,203 gr,Micro-USB,5500 mAh,32 GB,2021,"1.629,00 TL"
369,6.8 inç,Dynamic AMOLED,89.8 %,Exynos 2100,2.9 GHz,Mali-G78 MP14,12 GB RAM,Android 11,5 nm,Missing,LPDDR5,108 MP,12 MP,75.6 mm,6.8 inç,8.9 mm,227 gr,USB Type-C,5000 mAh,256 GB,2020,"18.899,00 TL"
370,6.1 inç,OLED,86.0 %,Apple A14 Bionic,Missing,Apple Quad-Core,4 GB RAM,iOS 14,5 nm,Missing,Missing,12 MP,12 MP,71.5 mm,6.1 inç,7.4 mm,164 gr,Lightning,2775 mAh,128 GB,2020,"13.699,00 TL"
371,5.4 inç,OLED,85.1 %,Apple A15 Bionic,Missing,Apple Quad-Core,4 GB RAM,iOS 15,5 nm,Missing,LPDDR5,12 MP,12 MP,64.2 mm,5.4 inç,7.7 mm,141 gr,Lightning,2425 mAh,128 GB,2021,"14.499,00 TL"
372,6.52 inç,IPS LCD,83.0 %,Mediatek MT6765 Helio P35,2.35 GHz,PowerVR GE8320,4 GB RAM,Android 10.0,12 nm,680 MHz,LPDDR4x,13 MP,8 Mp,75.4 mm,6.52 inç,7.9 mm,177 gr,Micro-USB,4230 mAh,64 GB,2020,"2.497,00 TL"
373,6.52 inç,IPS LCD,80.8 %,MediaTek Helio G35,2.3 GHz,PowerVR GE8320,3 GB RAM,Android 10.0,12 nm,680 MHz,LPDDR4x,13 MP,5 MP,76.4 mm,6.52 inç,8.9 mm,190 gr,Micro-USB,5000 mAh,32 GB,2021,"2.099,00 TL"
374,6.53 inç,IPS LCD,81.1 %,MediaTek Helio G35,2.3 GHz,PowerVR GE8320,3 GB RAM,Android 10.0,12 nm,680 MHz,Missing,13 MP,5 MP,77 mm,6.53 inç,9 mm,196 gr,Micro-USB,5000 mAh,64 GB,2020,"2.429,00 TL"
375,5.9 inç,IPS LCD,76.48 %,HiSilicon Kirin 659,2.36 GHz,Mali-T830 MP2,4 GB RAM,Android 7.0 (Nougat),16 nm,600 MHz,LPDDR3,16 MP,13 MP,75.2 mm,5.9 inç,7.5 mm,164 gr,Micro-USB,3340 mAh,64 GB,2017,"2.550,00 TL"
376,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,16:9,Missing,Missing,167 g,Missing,Missing,Missing,Missing,"1.745,38 TL"
377,6.4 inç,Super AMOLED,84.5 %,Samsung Exynos 7 Series 7904,1.8 GHz,Mali-G71 MP2,3 GB RAM,Android 9.0 (Pie),14 nm,Missing,LPDDR4x,16 MP,16 MP,74.7 mm,6.4 inç,7.7 mm,165 gr,USB Type-C,4000 mAh,32 GB,2019,"3.282,02 TL"
378,6.39 inç,IPS LCD,82.4 %,Hisilicon Kirin 710F,2.2 GHz,Mali-G51 MP4,4 GB RAM,Android 9.0 (Pie),12 nm,1000 MHz,LPDDR4x,48 MP,8 Mp,76.1 mm,6.39 inç,8.1 mm,176 gr,Micro-USB,4000 mAh,64 GB,2020,"3.044,83 TL"
379,6.82 inç,IPS LCD,83.2 %,Qualcomm SM4250 Snapdragon 460,1.8 GHz,Adreno 610,4 GB RAM,Android 11,11 nm,600 MHz,Missing,48 MP,8 Mp,77.1 mm,6.82 inç,9.1 mm,206 gr,USB Type-C,5000 mAh,64 GB,2021,"2.399,00 TL"
380,6.3 inç,IPS LCD,81.97 %,MediaTek MT6771V/T (Helio P70),2.1 GHz,Mali-G72 MP3,6 GB RAM,Android 10 (Q),12 nm,700 MHz,LPDDR4x,48 MP,16 MP,75 mm,6.3 inç,8.65 mm,180 gr,USB Type-C,4050 mAh,128 GB,2020,"2.939,02 TL"
381,6.5 inç,PLS IPS,81.9 %,MediaTek MT6739WW,1.5 GHz,PowerVR GE8100,3 GB RAM,Android 10.0,28 nm,570 MHz,Missing,13 MP,5 MP,75.9 mm,6.5 inç,9.1 mm,206 gr,Micro-USB,5000 mAh,32 GB,2021,"2.199,00 TL"
382,6.7 inç,Super AMOLED,86.13 %,Qualcomm SM6150 Snapdragon 675,2.0 GHz,Adreno 612,6 GB RAM,Android 9.0 (Pie),11 nm,845 MHz,LPDDR4x,32 MP,32 MP,76.7 mm,6.7 inç,7.9 mm,183 gr,USB Type-C,4500 mAh,128 GB,2019,"8.278,00 TL"
383,6.26 inç,IPS LCD,Missing,Spreadtrum SC9832E,1.4 GHz,Mali-T820 MP1,2 GB RAM,Android 11,28 nm,650 MHz,Missing,8 MP,5 MP,77.2 mm,6.26 inç,9.25 mm,190 gr,Micro-USB,3800 mAh,32 GB,2021,"1.339,00 TL"
384,6.67 inç,IPS LCD,84.08 %,MediaTek Helio G90,2.05 GHz,Mali-G76 MC4,6 GB RAM,Android 11,12 nm,720 MHz,LPDDR4x,48 MP,16 MP,76.9 mm,6.67 inç,8.9 mm,205 gr,USB Type-C,5000 mAh,128 GB,2020,"2.985,03 TL"
385,6.4 inç,AMOLED,84.8 %,Qualcomm SM7125 Snapdragon 720G,2.3 GHz,Adreno 618,8 GB RAM,Android 11,7 nm,750 MHz,LPDDR4x,64 MP,32 MP,73.3 mm,6.4 inç,7.7 mm,171 gr,USB Type-C,4300 mAh,128 GB,2020,"6.909,00 TL"
386,6.2 inç,Dynamic AMOLED,89.5 %,Exynos 990,2.73 GHz,Mali-G77 MP11,8 GB RAM,Android 10.0,7 nm+,Missing,LPDDR5,64 MP,10 MP,69.1 mm,6.2 inç,7.9 mm,163 gr,USB Type-C,4000 mAh,128 GB,2020,"10.789,00 TL"
387,5.3 inç,PLS TFT,74.5 %,MediaTek MT6739,1.5 GHz,PowerVR GE8100,1 GB RAM,Android 10 (Go edition),28 nm,570 MHz,Missing,8 MP,5 MP,67.5 mm,5.3 inç,8.6 mm,150 gr,Micro-USB,3000 mAh,16 GB,2019,"1.654,00 TL"
388,6.47 inç,AMOLED,88.7 %,Qualcomm SM6125 Snapdragon 665,2.0 GHz,Adreno 610,6 GB RAM,Android 10.0,11 nm,Missing,LPDDR4x,48 MP,16 MP,72.9 mm,6.47 inç,8.9 mm,172 gr,USB Type-C,4500 mAh,256 GB,2020,"3.861,20 TL"
389,6.1 inç,OLED,86.0 %,Apple A14 Bionic,Missing,Apple Quad-Core,6 GB RAM,iOS 14,5 nm,Missing,Missing,12 MP,12 MP,71.5 mm,6.1 inç,7.4 mm,189 gr,Lightning,2815 mAh,512 GB,2020,"19.785,00 TL"
390,6.4 inç,Dynamic AMOLED,87.54 %,Samsung Exynos 9 Series 9820,2.73 GHz,Mali-G76 MP12,8 GB RAM,Android 9.0 (Pie),8 nm,Missing,LPDDR4x,12 MP,10 MP,74.1 mm,6.4 inç,7.8 mm,198 gr,USB Type-C,4100 mAh,128 GB,2019,"10.289,02 TL"
391,6.1 inç,OLED,86.0 %,Apple A14 Bionic,Missing,Apple Quad-Core,4 GB RAM,iOS 14,5 nm,Missing,Missing,12 MP,12 MP,71.5 mm,6.1 inç,7.4 mm,164 gr,Lightning,2775 mAh,128 GB,2020,"13.699,00 TL"
392,6.52 inç,IPS LCD,83.0 %,Mediatek MT6765 Helio P35,2.35 GHz,PowerVR GE8320,2 GB RAM,Android 10.0,12 nm,680 MHz,LPDDR4x,13 MP,5 MP,75.4 mm,6.52 inç,7.9 mm,175 gr,Micro-USB,4230 mAh,32 GB,2020,"2.129,00 TL"
393,6.4 inç,AMOLED,85.5 %,Mediatek MT6771V Helio P70,2.1 GHz,Mali-G72 MP3,8 GB RAM,Android 9.0 (Pie),12 nm,900 MHz,Missing,48 MP,16 MP,73.3 mm,6.4 inç,7.9 mm,172 gr,USB Type-C,4025 mAh,128 GB,2019,"4.734,00 TL"
394,6.67 inç,IPS LCD,85.2 %,Qualcomm SM8250 Snapdragon 865,2.84 GHz,Adreno 650,8 GB RAM,Android 10.0,7 nm+,587 MHz,LPDDR5,64 MP,20 MP,76.4 mm,6.67 inç,9.3 mm,216 gr,USB Type-C,5000 mAh,128 GB,2020,"8.829,00 TL"
395,6.55 inç,IPS LCD,Missing,MediaTek MT6765 (Helio P35),2.3 GHz,PowerVR GE8320,4 GB RAM,Android 10 (Q),12 nm,680 MHz,Missing,48 MP,8 Mp,76.8 mm,6.55 inç,9 mm,194 gr,USB Type-C,5000 mAh,128 GB,2021,"2.616,60 TL"
396,6.4 inç,Super AMOLED,84.2 %,Exynos 9611,2.3 GHz,Mali-G72 MP3,4 GB RAM,Android 10.0,10 nm,Missing,LPDDR4x,48 MP,20 MP,75.1 mm,6.4 inç,8.9 mm,188 gr,USB Type-C,6000 mAh,64 GB,2020,"2.744,00 TL"
397,6.67 inç,AMOLED,85.6 %,Qualcomm SM7150 Snapdragon 732G,2.3 GHz,Adreno 618,6 GB RAM,Android 11,8 nm,Missing,LPDDR4x,108 MP,16 MP,76.5 mm,6.67 inç,8.1 mm,193 gr,USB Type-C,5020 mAh,128 GB,2021,"5.561,32 TL"
398,6.49 inç,IPS LCD,82.16 %,MediaTek MT6757CD (Helio P25),2.6 GHz,Mali-T880 MP2,4 GB RAM,Android 10.0,16 nm,1000 MHz,LPDDR4x,13 MP,8 Mp,77 mm,6.49 inç,8.8 mm,180 gr,USB Type-C,4680 mAh,64 GB,2020,"1.879,00 TL"
399,6.3 inç,Dynamic AMOLED,91.37 %,Samsung Exynos 9825,2.73 GHz,Mali-G76 MP12,8 GB RAM,Android 9.0 (Pie),7 nm,Missing,LPDDR4x,12 MP,10 MP,71.8 mm,6.3 inç,7.9 mm,168 gr,USB Type-C,3500 mAh,256 GB,2019,"12.004,02 TL"
400,6.55 inç,IPS LCD,82.1 %,Mediatek MT6771V / C Helio P60,2.0 GHz,Mali-G72 MP3,4 GB RAM,Android 10.0,12 nm,600 MHz,LPDDR4x,48 MP,13 MP,71.5 mm,6.55 inç,8.3 mm,140 gr,USB Type-C,4000 mAh,128 GB,2020,"2.329,00 TL"
401,6.7 inç,OLED,87.4 %,Apple A15 Bionic,3.22 GHz,5x Apple GPU,6 GB RAM,iOS 15,5 nm,Missing,LPDDR5,12 MP,12 MP,78.1 mm,6.7 inç,7.7 mm,240 gr,Lightning,4373 mAh,512 GB,2021,"31.799,00 TL"
402,6.6 inç,IPS LCD,84.9 %,MediaTek MT6891Z Dimensity 1100 5G,2.6 GHz,Mali-G77 MC9,8 GB RAM,Android 11,6 nm,Missing,LPDDR4x,64 MP,16 MP,75.9 mm,6.6 inç,8.9 mm,193 gr,USB Type-C,5000 mAh,128 GB,2021,"4.699,00 TL"
403,6.52 inç,IPS LCD,83.0 %,Mediatek MT6765 Helio P35,2.35 GHz,PowerVR GE8320,2 GB RAM,Android 10.0,12 nm,680 MHz,LPDDR4x,13 MP,5 MP,75.4 mm,6.52 inç,7.9 mm,175 gr,Micro-USB,4230 mAh,32 GB,2020,"2.129,00 TL"
404,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"2.899,00 TL"
405,6.8 inç,IPS LCD,83.2 %,Mediatek Helio G70,2.0 GHz,Mali-G52 2EEMC2,6 GB RAM,Android 10.0,12 nm,Missing,LPDDR4x,64 MP,16 MP,77.2 mm,6.8 inç,9.2 mm,207 gr,Micro-USB,5000 mAh,128 GB,2020,"2.469,60 TL"
406,6.7 inç,OLED,87.4 %,Apple A15 Bionic,3.22 GHz,5x Apple GPU,6 GB RAM,iOS 15,5 nm,Missing,LPDDR5,12 MP,12 MP,78.1 mm,6.7 inç,7.7 mm,240 gr,Lightning,4373 mAh,128 GB,2021,"26.049,00 TL"
407,6.53 inç,IPS LCD,83.8 %,Mediatek MT6765 Helio P35,2.3 GHz,PowerVR GE8320,6 GB RAM,Android 10.0,12 nm,Missing,Missing,48 MP,16 MP,76.9 mm,6.53 inç,9 mm,195 gr,Micro-USB,4000 mAh,128 GB,2020,"2.713,00 TL"
408,6.01 inç,AMOLED,77.34 %,Qualcomm SDM660 Snapdragon 660,2.2 GHz,Adreno 512,4 GB RAM,Android 8.1 (Oreo),14 nm,650 MHz,LPDDR4x,12 MP,8 Mp,75.8 mm,6.01 inç,7.9 mm,175 gr,USB Type-C,3800 mAh,64 GB,2018,"1.799,00 TL"
409,6.53 inç,IPS LCD,Missing,MediaTek Helio P70 (MT6771V/T),2.1 GHz,Mali-G72 MP3,6 GB RAM,Android 11,12 nm,900 MHz,LPDDR4x,48 MP,25 MP,76.7 mm,6.53 inç,8.49 mm,188 gr,USB Type-C,4000 mAh,128 GB,2021,"2.710,00 TL"
410,6.7 inç,Dynamic AMOLED 2X,88.3 %,Exynos 2100,2.9 GHz,Mali-G78 MP14,8 GB RAM,Android 11,5 nm,Missing,LPDDR5,64 MP,10 MP,75.6 mm,6.7 inç,7.8 mm,200 gr,USB Type-C,4800 mAh,256 GB,2021,"16.267,02 TL"
411,6.53 inç,IPS LCD,81.1 %,MediaTek Helio G35,2.3 GHz,PowerVR GE8320,2 GB RAM,Android 10.0,12 nm,680 MHz,Missing,13 MP,5 MP,77 mm,6.53 inç,9 mm,196 gr,Micro-USB,5000 mAh,32 GB,2020,"2.149,00 TL"
