,Screen_Size,Screen_Tech,Screen_Body_Ratio,CPU_Model,CPU_Freq,GPU_Model,RAM,Operating_System,CPU_Tickness,GPU_Freq,RAM_Type,Camera_Resolution,Selfie_Camera_Resolution,Width,Height,Tickness,Weight,Charge_Type,Battery_Size,Storage_Capacity,Release_Year,PRICE
44,6.67 inç,IPS LCD,84.08 %,MediaTek Helio G90,2.05 GHz,Mali-G76 MC4,6 GB RAM,Android 11,12 nm,720 MHz,LPDDR4x,48 MP,16 MP,76.9 mm,6.67 inç,8.9 mm,205 gr,USB Type-C,5000 mAh,128 GB,2021,"3.078,85 TL"
45,6.67 inç,AMOLED,85.1 %,MediaTek MT6893 Dimensity 1200 5G,3.0 GHz,Mali-G77 MC9,8 GB RAM,Android 11,6 nm,886 MHz,LPDDR4x,108 MP,16 MP,76.9 mm,6.67 inç,8.8 mm,203 gr,USB Type-C,5000 mAh,256 GB,2021,"8.929,06 TL"
46,4.7 inç,IPS LCD,65.4 %,Apple A13 Bionic,2.65 GHz,Apple GPU,3 GB RAM,iOS 13,7 nm+,Missing,Missing,12 MP,7 MP,67.3 mm,4.7 inç,7.3 mm,148 gr,Lightning,1821 mAh,64 GB,2020,"6.449,00 TL"
47,6.1 inç,OLED,86.0 %,Apple A14 Bionic,Missing,Apple Quad-Core,4 GB RAM,iOS 14,5 nm,Missing,Missing,12 MP,12 MP,71.5 mm,6.1 inç,7.4 mm,164 gr,Lightning,2775 mAh,64 GB,2020,"12.799,00 TL"
48,6.1 inç,IPS LCD,78.31 %,Apple A12 Bionic,2.5 GHz,Apple G11P MP4,3 GB RAM,iOS 12,7 nm,Missing,LPDDR4x,12 MP,7 MP,75.7 mm,6.1 inç,8.3 mm,194 gr,Lightning,2942 mAh,64 GB,2018,"9.000,00 TL"
49,6.67 inç,IPS LCD,84.5 %,Qualcomm SM7125 Snapdragon 720G,2.3 GHz,Adreno 618,6 GB RAM,Android 10.0,8 nm,750 MHz,LPDDR4x,48 MP,16 MP,76.7 mm,6.67 inç,8.8 mm,209 gr,USB Type-C,5020 mAh,128 GB,2020,"3.919,02 TL"
50,6.5 inç,TFT LCD,83.4%,MediaTek MT6765 (Helio P35),2.3 GHz,PowerVR GE8320,4 GB RAM,Android 10.0,12 nm,680 MHz,Missing,48 MP,8 Mp,75.8 mm,6.5 inç,8.9 mm,205 gr,USB Type-C,5000 mAh,64 GB,2020,"2.634,24 TL"
51,6.1 inç,IPS LCD,79 %,Apple A13 Bionic,2.66 GHz,Missing,4 GB RAM,iOS 13,7 nm,Missing,LPDDR4x,12 MP,12 MP,75.7 mm,6.1 inç,8.3 mm,194 gr,Lightning,Missing,128 GB,2019,"10.919,00 TL"
52,6.53 inç,IPS LCD,83.5 %,MediaTek Helio G85,2.0 GHz,Mali-G52 MC2,4 GB RAM,Android 10.0,12 nm,1000 MHz,LPDDR4x,48 MP,13 MP,77.2 mm,6.53 inç,8.9 mm,199 gr,USB Type-C,5020 mAh,128 GB,2020,"3.360,42 TL"
53,5.4 inç,OLED,85.1 %,Apple A14 Bionic,3.1 GHz,Apple Quad-Core,4 GB RAM,iOS 14,5 nm,Missing,Missing,12 MP,12 MP,64.2 mm,5.4 inç,7.4 mm,135 gr,Lightning,2227 mAh,64 GB,2020,"10.400,00 TL"
54,6.1 inç,OLED,86.0 %,Apple A14 Bionic,Missing,Apple Quad-Core,4 GB RAM,iOS 14,5 nm,Missing,Missing,12 MP,12 MP,71.5 mm,6.1 inç,7.4 mm,164 gr,Lightning,2775 mAh,64 GB,2020,"12.909,00 TL"
